Experiment Name,HPWL_best (µm),Runtime_mean (s),Runtime_best_hpwl (s),alpha,num_temp_steps,P_refine,W_initial,beta,T_initial,moves_per_temp
T4M_steps=500_alpha=0.80_Prefine=0.9_W=0.3_beta=0.90,243714.62,1227.50,1227.50,0.8,500,0.9,0.3,0.9,4000000.0,1000
T4M_steps=350_alpha=0.80_Prefine=0.9_W=0.3_beta=0.90,262778.02,875.76,875.76,0.8,350,0.9,0.3,0.9,4000000.0,1000
T4M_steps=250_alpha=0.80_Prefine=0.9_W=0.3_beta=0.90,284558.86,609.65,609.65,0.8,250,0.9,0.3,0.9,4000000.0,1000
T4M_steps=150_alpha=0.80_Prefine=0.7_W=0.3_beta=0.90,293357.38,456.65,456.65,0.8,150,0.7,0.3,0.9,4000000.0,1000
T4M_steps=150_alpha=0.80_Prefine=0.7_W=0.5_beta=0.95,301144.76,420.66,420.66,0.8,150,0.7,0.5,0.95,4000000.0,1000
T4M_steps=150_alpha=0.80_Prefine=0.7_W=0.7_beta=0.98,307120.70,335.35,335.35,0.8,150,0.7,0.7,0.98,4000000.0,1000
T4M_steps=150_alpha=0.80_Prefine=0.9_W=0.3_beta=0.90,313877.96,884.95,884.95,0.8,150,0.9,0.3,0.9,4000000.0,1000
T4M_steps=150_alpha=0.80_Prefine=0.9_W=0.5_beta=0.95,322425.04,413.06,413.06,0.8,150,0.9,0.5,0.95,4000000.0,1000
T4M_steps=150_alpha=0.80_Prefine=0.9_W=0.7_beta=0.98,332278.52,307.46,307.46,0.8,150,0.9,0.7,0.98,4000000.0,1000
T4M_steps=60_alpha=0.80_Prefine=0.7_W=0.3_beta=0.90,365561.28,174.98,174.98,0.8,60,0.7,0.3,0.9,4000000.0,1000
T4M_steps=60_alpha=0.80_Prefine=0.9_W=0.3_beta=0.90,377176.84,135.36,135.36,0.8,60,0.9,0.3,0.9,4000000.0,1000
T4M_steps=60_alpha=0.80_Prefine=0.7_W=0.7_beta=0.98,379682.74,135.65,135.65,0.8,60,0.7,0.7,0.98,4000000.0,1000
T4M_steps=60_alpha=0.80_Prefine=0.9_W=0.7_beta=0.98,383040.80,129.40,129.40,0.8,60,0.9,0.7,0.98,4000000.0,1000
T4M_steps=60_alpha=0.80_Prefine=0.9_W=0.5_beta=0.95,384033.34,127.20,127.20,0.8,60,0.9,0.5,0.95,4000000.0,1000
T4M_steps=60_alpha=0.80_Prefine=0.7_W=0.5_beta=0.95,384359.86,140.83,140.83,0.8,60,0.7,0.5,0.95,4000000.0,1000
T4M_steps=250_alpha=0.97_Prefine=0.7_W=0.7_beta=0.98,392339.76,23161.54,23161.54,0.97,250,0.7,0.7,0.98,4000000.0,1000
T4M_steps=150_alpha=0.97_Prefine=0.7_W=0.7_beta=0.98,392720.84,332.04,332.04,0.97,150,0.7,0.7,0.98,4000000.0,1000
T4M_steps=150_alpha=0.97_Prefine=0.7_W=0.5_beta=0.95,393405.04,392.20,392.20,0.97,150,0.7,0.5,0.95,4000000.0,1000
T4M_steps=60_alpha=0.85_Prefine=0.7_W=0.3_beta=0.90,393451.86,165.80,165.80,0.85,60,0.7,0.3,0.9,4000000.0,1000
T4M_steps=60_alpha=0.85_Prefine=0.9_W=0.3_beta=0.90,393533.56,135.75,135.75,0.85,60,0.9,0.3,0.9,4000000.0,1000
T4M_steps=150_alpha=0.97_Prefine=0.9_W=0.5_beta=0.95,393650.12,380.71,380.71,0.97,150,0.9,0.5,0.95,4000000.0,1000
T4M_steps=60_alpha=0.85_Prefine=0.9_W=0.5_beta=0.95,393686.36,1030.21,1030.21,0.85,60,0.9,0.5,0.95,4000000.0,1000
T4M_steps=60_alpha=0.90_Prefine=0.7_W=0.5_beta=0.95,393723.32,133.16,133.16,0.9,60,0.7,0.5,0.95,4000000.0,1000
T4M_steps=150_alpha=0.97_Prefine=0.9_W=0.3_beta=0.90,393786.78,365.93,365.93,0.97,150,0.9,0.3,0.9,4000000.0,1000
T4M_steps=150_alpha=0.97_Prefine=0.7_W=0.3_beta=0.90,393900.50,440.15,440.15,0.97,150,0.7,0.3,0.9,4000000.0,1000
T4M_steps=60_alpha=0.90_Prefine=0.9_W=0.3_beta=0.90,393916.86,130.59,130.59,0.9,60,0.9,0.3,0.9,4000000.0,1000
T4M_steps=60_alpha=0.85_Prefine=0.7_W=0.5_beta=0.95,393931.92,138.80,138.80,0.85,60,0.7,0.5,0.95,4000000.0,1000
T4M_steps=150_alpha=0.97_Prefine=0.9_W=0.7_beta=0.98,393942.82,316.66,316.66,0.97,150,0.9,0.7,0.98,4000000.0,1000
T4M_steps=60_alpha=0.90_Prefine=0.9_W=0.7_beta=0.98,393996.22,122.33,122.33,0.9,60,0.9,0.7,0.98,4000000.0,1000
T4M_steps=60_alpha=0.90_Prefine=0.7_W=0.7_beta=0.98,394051.42,131.64,131.64,0.9,60,0.7,0.7,0.98,4000000.0,1000
T4M_steps=60_alpha=0.90_Prefine=0.7_W=0.3_beta=0.90,394075.62,164.36,164.36,0.9,60,0.7,0.3,0.9,4000000.0,1000
T4M_steps=60_alpha=0.85_Prefine=0.7_W=0.7_beta=0.98,394098.50,133.80,133.80,0.85,60,0.7,0.7,0.98,4000000.0,1000
T4M_steps=60_alpha=0.90_Prefine=0.9_W=0.5_beta=0.95,394172.98,123.82,123.82,0.9,60,0.9,0.5,0.95,4000000.0,1000
T4M_steps=60_alpha=0.85_Prefine=0.9_W=0.7_beta=0.98,394203.82,1205.32,1205.32,0.85,60,0.9,0.7,0.98,4000000.0,1000
