Experiment Name,HPWL_best (µm),Runtime_mean (s),Runtime_best_hpwl (s),alpha,num_temp_steps,P_refine,W_initial,beta,T_initial,moves_per_temp
T4M_steps=500_alpha=0.80_Prefine=0.9_W=0.3_beta=0.90,12823.46,368.09,368.09,0.8,500,0.9,0.3,0.9,4000000.0,1000
T4M_steps=350_alpha=0.80_Prefine=0.9_W=0.3_beta=0.90,13139.24,252.69,252.69,0.8,350,0.9,0.3,0.9,4000000.0,1000
T4M_steps=250_alpha=0.80_Prefine=0.9_W=0.3_beta=0.90,13391.98,173.68,173.68,0.8,250,0.9,0.3,0.9,4000000.0,1000
T4M_steps=150_alpha=0.80_Prefine=0.9_W=0.3_beta=0.90,13949.22,93.69,93.69,0.8,150,0.9,0.3,0.9,4000000.0,1000
T4M_steps=150_alpha=0.80_Prefine=0.7_W=0.3_beta=0.90,14028.40,189.28,189.28,0.8,150,0.7,0.3,0.9,4000000.0,1000
T4M_steps=150_alpha=0.80_Prefine=0.7_W=0.5_beta=0.95,14434.42,124.47,124.47,0.8,150,0.7,0.5,0.95,4000000.0,1000
T4M_steps=150_alpha=0.80_Prefine=0.9_W=0.7_beta=0.98,14605.48,42.70,42.70,0.8,150,0.9,0.7,0.98,4000000.0,1000
T4M_steps=150_alpha=0.80_Prefine=0.9_W=0.5_beta=0.95,14787.24,71.83,71.83,0.8,150,0.9,0.5,0.95,4000000.0,1000
T4M_steps=150_alpha=0.80_Prefine=0.7_W=0.7_beta=0.98,14985.06,42.87,42.87,0.8,150,0.7,0.7,0.98,4000000.0,1000
T4M_steps=60_alpha=0.80_Prefine=0.9_W=0.7_beta=0.98,19978.74,17.81,17.81,0.8,60,0.9,0.7,0.98,4000000.0,1000
T4M_steps=60_alpha=0.80_Prefine=0.7_W=0.7_beta=0.98,20223.48,17.77,17.77,0.8,60,0.7,0.7,0.98,4000000.0,1000
T4M_steps=60_alpha=0.80_Prefine=0.9_W=0.5_beta=0.95,20339.92,18.19,18.19,0.8,60,0.9,0.5,0.95,4000000.0,1000
T4M_steps=60_alpha=0.80_Prefine=0.7_W=0.3_beta=0.90,20476.22,50.26,50.26,0.8,60,0.7,0.3,0.9,4000000.0,1000
T4M_steps=60_alpha=0.80_Prefine=0.9_W=0.3_beta=0.90,20746.22,30.58,30.58,0.8,60,0.9,0.3,0.9,4000000.0,1000
T4M_steps=60_alpha=0.80_Prefine=0.7_W=0.5_beta=0.95,20899.26,17.68,17.68,0.8,60,0.7,0.5,0.95,4000000.0,1000
T4M_steps=250_alpha=0.97_Prefine=0.7_W=0.7_beta=0.98,24414.42,96.72,96.72,0.97,250,0.7,0.7,0.98,4000000.0,1000
T4M_steps=150_alpha=0.97_Prefine=0.9_W=0.7_beta=0.98,24947.38,44.29,44.29,0.97,150,0.9,0.7,0.98,4000000.0,1000
T4M_steps=150_alpha=0.97_Prefine=0.7_W=0.7_beta=0.98,24995.74,44.31,44.31,0.97,150,0.7,0.7,0.98,4000000.0,1000
T4M_steps=150_alpha=0.97_Prefine=0.9_W=0.3_beta=0.90,25131.06,95.00,95.00,0.97,150,0.9,0.3,0.9,4000000.0,1000
T4M_steps=150_alpha=0.97_Prefine=0.7_W=0.5_beta=0.95,25444.66,125.35,125.35,0.97,150,0.7,0.5,0.95,4000000.0,1000
T4M_steps=150_alpha=0.97_Prefine=0.9_W=0.5_beta=0.95,25449.12,74.82,74.82,0.97,150,0.9,0.5,0.95,4000000.0,1000
T4M_steps=60_alpha=0.85_Prefine=0.7_W=0.5_beta=0.95,26203.16,17.61,17.61,0.85,60,0.7,0.5,0.95,4000000.0,1000
T4M_steps=60_alpha=0.85_Prefine=0.9_W=0.7_beta=0.98,26262.90,17.06,17.06,0.85,60,0.9,0.7,0.98,4000000.0,1000
T4M_steps=60_alpha=0.90_Prefine=0.9_W=0.3_beta=0.90,26355.38,27.11,27.11,0.9,60,0.9,0.3,0.9,4000000.0,1000
T4M_steps=60_alpha=0.85_Prefine=0.9_W=0.5_beta=0.95,26389.80,17.30,17.30,0.85,60,0.9,0.5,0.95,4000000.0,1000
T4M_steps=60_alpha=0.90_Prefine=0.7_W=0.7_beta=0.98,26390.36,17.67,17.67,0.9,60,0.7,0.7,0.98,4000000.0,1000
T4M_steps=60_alpha=0.85_Prefine=0.9_W=0.3_beta=0.90,26426.60,27.16,27.16,0.85,60,0.9,0.3,0.9,4000000.0,1000
T4M_steps=60_alpha=0.90_Prefine=0.9_W=0.7_beta=0.98,26647.82,17.46,17.46,0.9,60,0.9,0.7,0.98,4000000.0,1000
T4M_steps=60_alpha=0.85_Prefine=0.7_W=0.3_beta=0.90,26706.92,52.17,52.17,0.85,60,0.7,0.3,0.9,4000000.0,1000
T4M_steps=60_alpha=0.85_Prefine=0.7_W=0.7_beta=0.98,26758.30,17.92,17.92,0.85,60,0.7,0.7,0.98,4000000.0,1000
T4M_steps=150_alpha=0.97_Prefine=0.7_W=0.3_beta=0.90,26768.22,181.52,181.52,0.97,150,0.7,0.3,0.9,4000000.0,1000
T4M_steps=60_alpha=0.90_Prefine=0.7_W=0.5_beta=0.95,26831.90,17.65,17.65,0.9,60,0.7,0.5,0.95,4000000.0,1000
T4M_steps=60_alpha=0.90_Prefine=0.7_W=0.3_beta=0.90,27016.58,45.26,45.26,0.9,60,0.7,0.3,0.9,4000000.0,1000
T4M_steps=60_alpha=0.90_Prefine=0.9_W=0.5_beta=0.95,27371.80,17.27,17.27,0.9,60,0.9,0.5,0.95,4000000.0,1000
